station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,frc
tt_jorr_west,Tol JORR Barat,2026-09-07T03:37:56+00:00,-6.235,106.695,23,29,2055,1630,0.2069,False,0.992292,FRC2
tt_cibinong,Jl. Raya Cibinong,2026-09-07T03:37:56+00:00,-6.48,106.85,44,44,1617,1617,0.0,False,1.0,FRC1
tt_cimanggis,Jl. Raya Cimanggis,2026-09-07T03:37:56+00:00,-6.37,106.885,25,25,444,444,0.0,False,1.0,FRC2
tt_cilodong,Jl. Raya Cilodong,2026-09-07T03:37:56+00:00,-6.43,106.84,29,29,2116,2116,0.0,False,1.0,FRC4
tt_gadingserpong,Jl. Gading Serpong,2026-09-07T03:37:56+00:00,-6.245,106.64,36,36,96,96,0.0,False,1.0,FRC4
tt_merak_toll_e,Tol Jkt-Merak (Timur),2026-09-07T03:37:56+00:00,-6.24,106.59,25,25,435,435,0.0,False,1.0,FRC4
tt_sedyatmo_toll,Tol Sedyatmo (Bandara),2026-09-07T03:37:56+00:00,-6.103,106.722,76,76,303,303,0.0,False,1.0,FRC0
tt_yossudarso,Jl. Yos Sudarso (Sunter-Priok),2026-09-07T03:37:56+00:00,-6.135,106.888,42,42,283,283,0.0,False,1.0,FRC3
tt_cibitung_cilincing,Tol Cibitung-Cilincing (Tarumajaya),2026-09-07T03:37:56+00:00,-6.18,107.045,26,34,851,651,0.2353,False,0.939276,FRC4
tt_ciledug,Jl. HOS Cokroaminoto (Ciledug),2026-09-07T03:37:56+00:00,-6.236,106.708,23,28,2776,2280,0.1786,False,0.972439,FRC4
tt_ciputat,Jl. Ir H Juanda (Ciputat),2026-09-07T03:37:56+00:00,-6.308,106.748,22,27,589,480,0.1852,False,0.985376,FRC4
tt_bintaro,Jl. Bintaro Utama,2026-09-07T03:37:56+00:00,-6.273,106.728,28,28,490,490,0.0,False,1.0,FRC3
tt_serpong_raya,Jl. Raya Serpong,2026-09-07T03:37:56+00:00,-6.283,106.668,39,39,616,616,0.0,False,1.0,FRC3
tt_pamulang,Jl. Siliwangi (Pamulang),2026-09-07T03:37:56+00:00,-6.343,106.738,32,32,1100,1100,0.0,False,1.0,FRC2
tt_cikupa,Jl. Raya Serang (Cikupa),2026-09-07T03:37:56+00:00,-6.223,106.525,25,38,1609,1058,0.3421,False,1.0,FRC1
tt_daanmogot_km19,Jl. Daan Mogot KM19 (Batuceper),2026-09-07T03:37:56+00:00,-6.162,106.695,33,42,968,760,0.2143,False,1.0,FRC1
tt_serpong_toll,Tol Jakarta-Serpong (Pondok Ranji),2026-09-07T03:37:56+00:00,-6.276,106.715,24,24,168,168,0.0,False,1.0,FRC4
tt_cinere,Jl. Cinere Raya,2026-09-07T03:37:56+00:00,-6.335,106.784,26,26,264,264,0.0,False,1.0,FRC3
tt_sawangan,Jl. Raya Sawangan,2026-09-07T03:37:56+00:00,-6.403,106.776,26,26,985,985,0.0,False,1.0,FRC3
tt_juanda_depok,Jl. Ir H Juanda (Depok),2026-09-07T03:37:56+00:00,-6.381,106.833,33,33,312,312,0.0,False,1.0,FRC2
tt_aksesui,Jl. Akses UI (Kelapa Dua),2026-09-07T03:37:56+00:00,-6.348,106.823,26,26,523,523,0.0,False,1.0,FRC5
tt_citayam,Jl. Raya Citayam,2026-09-07T03:37:56+00:00,-6.435,106.802,24,24,1067,1067,0.0,False,1.0,FRC3
tt_parung,Jl. Raya Parung,2026-09-07T03:37:56+00:00,-6.47,106.733,37,44,1690,1421,0.1591,False,0.998786,FRC1
tt_pajajaran_bgr,Jl. Pajajaran (Bogor),2026-09-07T03:37:56+00:00,-6.601,106.806,40,40,76,76,0.0,False,1.0,FRC1
tt_sholehiskandar,Jl. Sholeh Iskandar (Bogor),2026-09-07T03:37:56+00:00,-6.561,106.783,21,21,103,103,0.0,False,1.0,FRC4
tt_ciawi,Jl. Raya Puncak (Ciawi),2026-09-07T03:37:56+00:00,-6.648,106.848,83,83,29,29,0.0,False,1.0,FRC0
tt_dramaga,Jl. Raya Dramaga (Bogor),2026-09-07T03:37:56+00:00,-6.557,106.745,28,28,370,370,0.0,False,1.0,FRC4
tt_antasari_toll,Tol Depok-Antasari (Krukut),2026-09-07T03:37:56+00:00,-6.335,106.796,20,26,322,247,0.2308,False,0.944365,FRC4
tt_cijago_toll,Tol Cijago (Depok),2026-09-07T03:37:56+00:00,-6.376,106.865,39,39,263,263,0.0,False,1.0,FRC1
tt_transyogi,Jl. Transyogi (Cibubur),2026-09-07T03:37:56+00:00,-6.364,106.91,26,26,240,240,0.0,False,1.0,FRC4
tt_cileungsi,Jl. Raya Cileungsi,2026-09-07T03:37:56+00:00,-6.405,106.96,14,28,94,47,0.5,False,0.97,FRC2
