seed,corridor,horizon,fixed_mae,adaptive_mae,improvement_pct
456,tt_kelapagading,6,6.463321583333333,4.040664645833334,37.48315639666131
456,tt_kuningan,1,2.0949702604166665,2.3037868749999997,-9.9675216650475
456,tt_kuningan,3,2.39835075,3.1877773541666663,-32.915394221077385
456,tt_kuningan,6,2.5072714791666666,4.015898145833333,-60.17005654162681
456,tt_sudirman,1,4.583221354166667,4.673604729166667,-1.9720490898357184
456,tt_sudirman,3,6.7933468125,6.497331020833333,4.357436766248815
456,tt_sudirman,6,8.932429708333332,8.346086187500001,6.564210858399634
456,tt_tangerang,1,4.782033270833334,4.588586645833334,4.045279780462282
456,tt_tangerang,3,5.982073479166666,6.203550791666667,-3.702350251485946
456,tt_tangerang,6,5.9849133750000005,6.762822854166667,-12.99784024303721
456,tt_tbsimatupang,1,12.422223041666667,12.6837084375,-2.104980686276985
456,tt_tbsimatupang,3,15.936372645833332,16.410681375,-2.9762653001884862
456,tt_tbsimatupang,6,17.560132499999998,17.404717479166667,0.8850446933320757
456,tt_thamrin,1,2.6670179270833336,2.656243958333333,0.4039706160424298
456,tt_thamrin,3,3.188155854166667,2.948591145833333,7.514209445571546
456,tt_thamrin,6,4.2204508333333335,3.787258791666666,10.264117715702191
789,tt_bekasi,1,1.2408475520833335,2.082302708333333,-67.81293599179287
789,tt_bekasi,3,1.260713583333333,2.5905450625,-105.4824423839859
789,tt_bekasi,6,1.2357555624999998,3.683095145833333,-198.04398682068108
789,tt_bogor,1,3.718925145833333,3.4277260625,7.830194798612471
789,tt_bogor,3,4.357019,4.370130458333333,-0.30092727007461967
789,tt_bogor,6,5.3525913124999995,4.913829458333334,8.197185784425901
789,tt_bsd,1,2.336903145833333,2.148154625,8.076865366451704
789,tt_bsd,3,2.9977408125,2.0420636249999995,31.87991381759928
789,tt_bsd,6,3.7213955416666664,2.2783163749999997,38.77790335666303
789,tt_cawang,1,6.4137817916666675,7.205540666666667,-12.344649392792252
789,tt_cawang,3,8.045837958333333,8.62289275,-7.172090646804446
789,tt_cawang,6,9.245464958333333,9.246445291666666,-0.010603396776157573
789,tt_depok,1,2.147955,2.692862208333333,-25.368651034743888
789,tt_depok,3,2.9127006874999997,2.776534833333333,4.674900333941945
789,tt_depok,6,3.0930753125000003,2.849928125,7.861017367322846
